run_accession	sample_accession	sample_title	bioproject	role	arm	tissue	library_type	sex	age_class	subject_biopsy	super_pop	pop	library_layout	read_length	read_count	instrument_model	fastq_ftp	fastq_md5	fastq_bytes
SRR27179078	SAMN38766805	THO540-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	young	THO540-1B			PAIRED	101.0	69272826	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/078/SRR27179078/SRR27179078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/078/SRR27179078/SRR27179078_2.fastq.gz	39a05f3608df2c45f5e2fca7954a3adc;a29626fd94dfcb4db76aeec6d68450e7	2091954412;2187623160
SRR27179124	SAMN38766827	RYD039-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	older	RYD039-1B			PAIRED	101.0	61898906	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/024/SRR27179124/SRR27179124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/024/SRR27179124/SRR27179124_2.fastq.gz	f8586bc89427b2bb1cdc98bf3d2f8841;420c74d5c80dac1ced8e23d7821976fc	1865507047;1994663603
SRR27179092	SAMN38766819	SIE949-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	older	SIE949-1B			PAIRED	101.0	55501449	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/092/SRR27179092/SRR27179092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/092/SRR27179092/SRR27179092_2.fastq.gz	af277d1e42096bca592a1b3e29926c9c;6c2af2ccb9ea62aa8ff6c468367b94d3	1672237876;1767528652
SRR27179148	SAMN38766923	CLO122-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	CLO122-1B			PAIRED	101.0	61482983	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/048/SRR27179148/SRR27179148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/048/SRR27179148/SRR27179148_2.fastq.gz	00c8b105908ae0188e0579bb575b01ee;53154d2e879296116b95fc0f129ef281	2265641141;1818290785
SRR27179090	SAMN38766817	SIM306-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	young	SIM306-1B			PAIRED	101.0	54866982	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/090/SRR27179090/SRR27179090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/090/SRR27179090/SRR27179090_2.fastq.gz	660a156ff0132f1ff4eb474a9d18e142;d04f678ca1c25bb8be8dae944425374e	1642448317;1757503087
SRR27179170	SAMN38766849	NOB524-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	NOB524-1B			PAIRED	101.0	46762132	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/070/SRR27179170/SRR27179170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/070/SRR27179170/SRR27179170_2.fastq.gz	303a60ab7d49ca4fe4a499b08d0a68ec;e515ce2f40dc2debe4c6cfa8e77181ce	1449143145;1524686927
SRR27179086	SAMN38766813	SOG782-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	older	SOG782-1B			PAIRED	101.0	57757920	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/086/SRR27179086/SRR27179086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/086/SRR27179086/SRR27179086_2.fastq.gz	c90023b9373fb61753f0426c767ee838;3d8eebf76443e638f860552a0bcbe26f	1732785483;1816975932
SRR27179135	SAMN38766838	POI944-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	POI944-1B			PAIRED	101.0	60267900	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/035/SRR27179135/SRR27179135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/035/SRR27179135/SRR27179135_2.fastq.gz	be7632844c37a83c73142887e1b3b955;71e3d4a747138651099cc7f550f1ae8d	1783715516;1913517581
SRR27179193	SAMN38766944	BIL937-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	young	BIL937-1B			PAIRED	101.0	59042453	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/093/SRR27179193/SRR27179193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/093/SRR27179193/SRR27179193_2.fastq.gz	1089fb2b34c3be419e3bcb5e29db7e4f;4cd723b80455ed0a53fa05460b6623bb	1765506140;1850229822
SRR27179199	SAMN38766950	BEL997-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	BEL997-1B			PAIRED	101.0	56034825	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/099/SRR27179199/SRR27179199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/099/SRR27179199/SRR27179199_2.fastq.gz	a4480dc9ea3c348e99c11f465331f8f1;dda6d951a0ae21b10b8bafe6ef577038	1689354461;1794780204
